iso3,pame_pa_marine_area,pame_pa_land_area,pame_percentage_pa_marine_cover,pame_percentage_pa_land_cover
MTQ,0,0,0,0
MUS,2,63.99,0,3.14
MWI,0,15336.69,0,12.95
MYS,1872,8705.8,0.36,2.65
MYT,0,0,0,0
NAM,9499,137405.11,1.69,16.68
NCL,17026,323.35,1.44,1.73
NER,0,187668.09,0,15.87
NFK,0,1.64,0,4.23
NGA,0,15425.5,0,1.7
NIC,705,18526.61,0.33,14.46
NIU,0,56.99,0,21.79
NLD,0,0,0,0
NOR,145,1085.41,0.02,0.33
NPL,0,25549.99,0,17.31
NRU,0,0,0,0
NZL,14644,26025.36,0.36,9.64
OMN,0,0,0,0
PAK,0,236.41,0,0.03
PAN,2652,17476.64,0.8,23.44
PCN,11,29.67,0,58.94
PER,66321,194418.94,7.76,15.05
PHL,1935,5662.42,0.1,1.92
PLW,1015,65.45,0.16,13.98
PNG,3069,13628.48,0.13,2.95
POL,6490,46883.87,21.26,15.03
PRI,0,0,0,0
PRK,0,0,0,0
PRT,2195,11281.58,0.13,12.28
PRY,0,8708.41,0,2.18
PSE,0,0,0,0
PYF,2,11.86,0,0.29
QAT,0,0,0,0
REU,0,1059.92,0,42.26
ROU,204,13943.47,0.68,5.86
RUS,18383,269885.88,0.24,1.59
RWA,0,2201.28,0,8.67
SAU,0,4080.97,0,0.21
SDN,0,15856.73,0,0.85
SEN,2497,11341.04,1.57,5.81
SGP,0,32.06,0,4.46
SGS,0,0,0,0
SHN,0,0,0,0
SJM,0,0,0,0
SLB,514,341.77,0.03,1.21
SLE,398,3558.41,0.25,4.93
SLV,0,60.2,0,0.29
SOM,0,0,0,0
SPM,0,0,0,0
SRB,0,4307.92,0,4.87
SSD,0,58886.23,0,9.3
STP,0,0,0,0
SUR,1999,21252.55,1.48,14.83
SVK,0,10787.25,0,22
SVN,0,1956.69,0,9.65
SWE,1112,10568.53,0.72,2.35
SWZ,0,697.51,0,4.02
SXM,0,0,0,0
SYC,2436,191.37,0.18,34.06
SYR,13,111.52,0.13,0.06
TCA,0,0,0,0
TCD,0,167112.85,0,13.16
TGO,0,8309.38,0,14.68
THA,1500,38918,0.5,7.57
TJK,0,25964.62,0,18.37
TKL,0,0,0,0
TKM,2235,8802.78,3.65,1.8
TLS,561,720.7,0.72,4.84
TON,21,55.14,0,7.46
TTO,0,0,0,0
TUN,229,2495.37,0.23,1.61
TUR,123,801.83,0.05,0.1
TUV,0,0,0,0
TWN,0,0,0,0
TZA,4191,129473.58,1.74,13.76
UGA,0,15956.8,0,6.61
UKR,130,7365.28,0.09,1.24
UMI,2293,0.47,0.12,1.47
URY,986,2001.22,0.69,1.14
USA,1518063,136153.5,17.63,1.44
UZB,0,1868.84,0,0.42
VCT,50,48.12,0.14,12.35
VEN,5921,131860.25,1.25,14.47
VGB,0,0,0,0
VIR,23,36.34,0.06,10.34
VNM,840,13598.5,0.11,4.17
VUT,0,29.96,0,0.25
WLF,0,0,0,0
WSM,0,0,0,0
YEM,1392,2835.51,0.26,0.63
ZAF,3727,77798.2,0.24,6.38
ZMB,0,116878.54,0,15.56
ZWE,0,24290.79,0,6.21
