type,description,value
total_protected_areas,number of protected areas,294035
total_terrestrial_protected_areas,number of terrestrial and inland waters protected areas,275835
total_marine_protected_areas,number of marine protected areas,18200
total_land_pa_coverage_percentage,percentage coverage of land by protected areas,16.11
total_land_area_protected,land area covered by protected areas (km2),21728787.87
total_ocean_pa_coverage_percentage,percentage coverage of ocean by protected areas,8.06
total_ocean_area_protected,ocean area covered by protected areas (km2),29202667.88
national_waters_pa_coverage_percentage,percentage coverage of national waters (EEZ) by protected areas,18.43
national_waters_pa_coverage_area,national waters (EEZ) area covered by protected areas (km2),26018402.7
high_seas_pa_coverage_percentage,percentage coverage of Areas Beyond National Jurisdiction (ABNJ) by protected areas,1.44
high_seas_pa_coverage_area,Areas Beyond National Jurisdiction (ABNJ) area covered by protected areas (km2),3184265.18
national_waters_percentage,percentage of ocean that is national waters,39
global_ocean_percentage,percentage of ocean that is in Areas Beyond National Jurisdiction (ABNJ),61
total_oecms,number of OECMs,881
total_terrestrial_oecms,number of terrestrial and inland waters OECMs,682
total_marine_oecms,number of marine OECMs,199
total_land_oecms_coverage_percentage,percentage coverage of land by OECMs,1.18
total_land_area_oecms,land area covered by OECMs (km2),1594414.58
total_ocean_oecms_coverage_percentage,percentage coverage of ocean by OECMs,0.11
total_ocean_area_oecms,ocean area covered by OECMs (km2),403677.37
national_waters_oecms_coverage_percentage,percentage coverage of national waters (EEZ) by OECMs,0.29
national_waters_oecms_coverage_area,national waters (EEZ) area covered by OECMs (km2),403677.37
total_oecms_pas,number of protected areas and OECMs,294916
total_terrestrial_oecms_pas,number of terrestrial and inland waters protected areas and OECMs,276517
total_marine_oecms_pas,number of marine protected areas and OECMs,18399
total_land_oecms_pas_coverage_percentage,percentage coverage of land by protected areas and OECMs,17.29
total_land_area_oecms_pas,land area covered by protected areas and OECMs (km2),23323202.45
total_ocean_oecms_pas_coverage_percentage,percentage coverage of ocean by protected areas and OECMs,8.17
total_ocean_area_oecms_pas,ocean area covered by protected areas and OECMs (km2),29606345.26
national_waters_oecms_pas_coverage_percentage,percentage coverage of national waters (EEZ) by protected areas and OECMs,18.71
national_waters_oecms_pas_coverage_area,national waters (EEZ) area covered by protected areas and OECMs (km2),26422080.07
global_oecms_pas_coverage_percentage,percentage coverage of land + ocean by protected areas and OECMs,10.64
global_oecms_pas,land + ocean area covered by protected areas and OECMs (km2),52929547.7
green_list_perc,percent of the world covered by Green Listed protected areas and OECMs,0.14
green_list_area,area covered by Green Listed protected areas and OECMs (km2),733351
green_list_count,number of Green Listed protected areas and OECMs,58
,methodology used is described here: https://www.protectedplanet.net/en/resources/calculating-protected-area-coverage
