type,description,value
total_protected_areas,number of protected areas,293692
total_terrestrial_protected_areas,number of terrestrial and inland waters protected areas,275493
total_marine_protected_areas,number of marine protected areas,18199
total_land_pa_coverage_percentage,percentage coverage of land by protected areas,16.1
total_land_area_protected,land area covered by protected areas (km2),21722220.73
total_ocean_pa_coverage_percentage,percentage coverage of ocean by protected areas,8.01
total_ocean_area_protected,ocean area covered by protected areas (km2),29028224.84
national_waters_pa_coverage_percentage,percentage coverage of national waters (EEZ) by protected areas,18.3
national_waters_pa_coverage_area,national waters (EEZ) area covered by protected areas (km2),25843959.66
high_seas_pa_coverage_percentage,percentage coverage of Areas Beyond National Jurisdiction (ABNJ) by protected areas,1.44
high_seas_pa_coverage_area,Areas Beyond National Jurisdiction (ABNJ) area covered by protected areas (km2),3184265.181
national_waters_percentage,percentage of ocean that is national waters,39
global_ocean_percentage,percentage of ocean that is in Areas Beyond National Jurisdiction (ABNJ),61
total_oecms,number of OECMs,881
total_terrestrial_oecms,number of terrestrial and inland waters OECMs,682
total_marine_oecms,number of marine OECMs,199
total_land_oecms_coverage_percentage,percentage coverage of land by OECMs,1.18
total_land_area_oecms,land area covered by OECMs (km2),1594414.579
total_ocean_oecms_coverage_percentage,percentage coverage of ocean by OECMs,0.111411362
total_ocean_area_oecms,ocean area covered by OECMs (km2),403677.3731
national_waters_oecms_coverage_percentage,percentage coverage of national waters (EEZ) by OECMs,0.285898679
national_waters_oecms_coverage_area,national waters (EEZ) area covered by OECMs (km2),403677.3731
total_oecms_pas,number of protected areas and OECMs,294573
total_terrestrial_oecms_pas,number of terrestrial and inland waters protected areas and OECMs,276175
total_marine_oecms_pas,number of marine protected areas and OECMs,18398
total_land_oecms_pas_coverage_percentage,percentage coverage of land by protected areas and OECMs,17.28197073
total_land_area_oecms_pas,land area covered by protected areas and OECMs (km2),23316635.31
total_ocean_oecms_pas_coverage_percentage,percentage coverage of ocean by protected areas and OECMs,8.122943053
total_ocean_area_oecms_pas,ocean area covered by protected areas and OECMs (km2),29431902.21
national_waters_oecms_pas_coverage_percentage,percentage coverage of national waters (EEZ) by protected areas and OECMs,18.58951047
national_waters_oecms_pas_coverage_area,national waters (EEZ) area covered by protected areas and OECMs (km2),26247637.03
global_oecms_pas_coverage_percentage,percentage coverage of land + ocean by protected areas and OECMs,10.60806523
global_oecms_pas,land + ocean area covered by protected areas and OECMs (km2),52748537.52
green_list_perc,percent of the world covered by Green Listed protected areas and OECMs,0.14
green_list_area,area covered by Green Listed protected areas and OECMs (km2),733351
green_list_count,number of Green Listed protected areas and OECMs,58
,methodology used is described here: https://www.protectedplanet.net/en/resources/calculating-protected-area-coverage ,
