type,description,value
total_protected_areas,number of protected areas,285415
total_terrestrial_protected_areas,number of terrestrial and inland waters protected areas,266988
total_marine_protected_areas,number of marine protected areas,18427
total_land_pa_coverage_percentage,percentage coverage of land by protected areas,16.01
total_land_area_protected,land area covered by protected areas (km2),21600245
total_ocean_pa_coverage_percentage,percentage coverage of ocean by protected areas,8.16
total_ocean_area_protected,ocean area covered by protected areas (km2),29581750
national_waters_pa_coverage_percentage,percentage coverage of national waters (EEZ) by protected areas,18.7
national_waters_pa_coverage_area,national waters (EEZ) area covered by protected areas (km2),26397484
high_seas_pa_coverage_percentage,percentage coverage of Areas Beyond National Jurisdiction (ABNJ) by protected areas,1.44
high_seas_pa_coverage_area,Areas Beyond National Jurisdiction (ABNJ) area covered by protected areas (km2),"3,184,265"
national_waters_percentage,percentage of ocean that is national waters,39
global_ocean_percentage,percentage of ocean that is in Areas Beyond National Jurisdiction (ABNJ),61
total_oecms,number of OECMs,828
total_terrestrial_oecms,number of terrestrial and inland waters OECMs,633
total_marine_oecms,number of marine OECMs,195
total_land_oecms_coverage_percentage,percentage coverage of land by OECMs,1.18
total_land_area_oecms,land area covered by OECMs (km2),"1,588,936"
total_ocean_oecms_coverage_percentage,percentage coverage of ocean by OECMs,0.1
total_ocean_area_oecms,ocean area covered by OECMs (km2),"359,105"
national_waters_oecms_coverage_percentage,percentage coverage of national waters (EEZ) by OECMs,0.25
national_waters_oecms_coverage_area,national waters (EEZ) area covered by OECMs (km2),"359,105"
total_oecms_pas,number of protected areas and OECMs,286243
total_terrestrial_oecms_pas,number of terrestrial and inland waters protected areas and OECMs,267621
total_marine_oecms_pas,number of marine protected areas and OECMs,18622
total_land_oecms_pas_coverage_percentage,percentage coverage of land by protected areas and OECMs,17.19
total_land_area_oecms_pas,land area covered by protected areas and OECMs (km2),23189181
total_ocean_oecms_pas_coverage_percentage,percentage coverage of ocean by protected areas and OECMs,8.26
total_ocean_area_oecms_pas,ocean area covered by protected areas and OECMs (km2),29940854
national_waters_oecms_pas_coverage_percentage,percentage coverage of national waters (EEZ) by protected areas and OECMs,18.95
national_waters_oecms_pas_coverage_area,national waters (EEZ) area covered by protected areas and OECMs (km2),26756589
global_oecms_pas_coverage_percentage,percentage coverage of land + ocean by protected areas and OECMs,10.68
global_oecms_pas,land + ocean area covered by protected areas and OECMs (km2),53130035
green_list_perc,percent of the world covered by Green Listed protected areas and OECMs,0.14
green_list_area,area covered by Green Listed protected areas and OECMs (km2),"733,351"
green_list_count,number of Green Listed protected areas and OECMs,61
,methodology used is described here: https://www.protectedplanet.net/en/resources/calculating-protected-area-coverage ,
