type,description,value
total_protected_areas,number of protected areas,303309
total_terrestrial_protected_areas,number of terrestrial and inland waters protected areas,286781
total_marine_protected_areas,number of marine protected areas,16528
total_land_pa_coverage_percentage,percentage coverage of land by protected areas,16.42
total_land_area_protected,land area covered by protected areas (km2),22088393.95
total_ocean_pa_coverage_percentage,percentage coverage of ocean by protected areas,8.33
total_ocean_area_protected,ocean area covered by protected areas (km2),30253867.22
national_waters_pa_coverage_percentage,percentage coverage of national waters (EEZ) by protected areas,19.24
national_waters_pa_coverage_area,national waters (EEZ) area covered by protected areas (km2),27032039.96
high_seas_pa_coverage_percentage,percentage coverage of Areas Beyond National Jurisdiction (ABNJ) by protected areas,1.45
high_seas_pa_coverage_area,Areas Beyond National Jurisdiction (ABNJ) area covered by protected areas (km2),3221827.26
national_waters_percentage,percentage of ocean that is national waters,39
global_ocean_percentage,percentage of ocean that is in Areas Beyond National Jurisdiction (ABNJ),61
total_oecms,number of OECMs,6463
total_terrestrial_oecms,number of terrestrial and inland waters OECMs,6261
total_marine_oecms,number of marine OECMs,202
total_land_oecms_coverage_percentage,percentage coverage of land by OECMs,1.18
total_land_area_oecms,land area covered by OECMs (km2),1589909.42
total_ocean_oecms_coverage_percentage,percentage coverage of ocean by OECMs,0.11
total_ocean_area_oecms,ocean area covered by OECMs (km2),403604.91
national_waters_oecms_coverage_percentage,percentage coverage of national waters (EEZ) by OECMs,0.29
national_waters_oecms_coverage_area,national waters (EEZ) area covered by OECMs (km2),403604.91
total_oecms_pas,number of protected areas and OECMs,309772
total_terrestrial_oecms_pas,number of terrestrial and inland waters protected areas and OECMs,293042
total_marine_oecms_pas,number of marine protected areas and OECMs,16730
total_land_oecms_pas_coverage_percentage,percentage coverage of land by protected areas and OECMs,17.6
total_land_area_oecms_pas,land area covered by protected areas and OECMs (km2),23678303.37
total_ocean_oecms_pas_coverage_percentage,percentage coverage of ocean by protected areas and OECMs,8.45
total_ocean_area_oecms_pas,ocean area covered by protected areas and OECMs (km2),30657472.14
national_waters_oecms_pas_coverage_percentage,percentage coverage of national waters (EEZ) by protected areas and OECMs,19.52
national_waters_oecms_pas_coverage_area,national waters (EEZ) area covered by protected areas and OECMs (km2),27435644.88
global_oecms_pas_coverage_percentage,percentage coverage of land + ocean by protected areas and OECMs,10.92
global_oecms_pas,land + ocean area covered by protected areas and OECMs (km2),54335775.51
green_list_perc,percent of the world covered by Green Listed protected areas and OECMs,0.14
green_list_area,area covered by Green Listed protected areas and OECMs (km2),733351
green_list_count,number of Green Listed protected areas and OECMs,58
,methodology used is described here: https://www.protectedplanet.net/en/resources/calculating-protected-area-coverage ,
